artist,track,play_count
Ludwig van Beethoven,"Symphony No.7 in A, Op.92: 2. Allegretto",178
Radiohead,Weird Fishes/ Arpeggi,136
The Killers,Read My Mind,106
London Philharmonic Orchestra,"Orchestral Suite No. 3 in D major, BWV 1068: Air",97
Muzio Clementi,"Keyboard Sonatina In C Major, Op. 36, No. 1: I. Allegro",95
Band of Skulls,Fires,93
The Dead Weather,I Can't Hear You,89
London Philharmonic Orchestra,Hungarian Dance No. 5 in G Minor,87
André Previn,"Tsar Saltan, Op. 57: Flight of the Bumblebee",86
Kasabian,Club Foot,84
Jay-Z,Oceans,84
Kasabian,Processed Beats,82
Muzio Clementi,"Keyboard Sonatina in C Major, Op. 36, No. 3: I. Spiritoso",81
Kavinsky,Nightcall,80
Cheryl Studer,"Messa da Requiem, Sequenza:: Dies irae",75
The Dead Weather,I'm Mad,73
The White Stripes,Ball and Biscuit,71
Wolfgang Amadeus Mozart,Rondo alla Turca,70
Kasabian,Reason Is Treason,69
The White Stripes,Fell in Love With a Girl,68
alt-J,Tessellate,68
The London Ensemble,Requiem For A Dream - Lux Aeterna,67
Igor Stravinsky,Le Sacre du Printemps (The Rite of Spring): Auguries of Spring (Dances of the Young Girls),65
The Dead Weather,So Far From Your Weapon,65
The Black Keys,Too Afraid to Love You,65
London Philharmonic Orchestra,"Egmont, Op. 84: Overture",64
Portishead,Roads,64
Sir Simon Rattle,Barber: Adagio for Strings,63
Franz Liszt,"Hungarian Rhapsody, S. 244: No. 2 in D Minor",62
Silversun Pickups,Lazy Eye,62
Philadelphia Orchestra,"Dance Of The Hours From Act III Of ""La Gioconda""",58
Electric Light Orchestra,Last Train to London,58
The Dead Weather,The Difference Between Us,58
Czech Philharmonic Orchestra,Sabre Dance,57
Band of Skulls,Sweet Sour,57
Citizen Cope,D'Artagnan's Theme,56
Gioacchino Rossini,La gazza ladra (The Thieving Magpie): Overture,56
London Philharmonic Orchestra,The Valkyrie: Ride of the Valkyries,56
